id,maxDL1Mpos_abt,maxDL2Mpos_abt,maxDL1Mneg_abt,maxDL2Mneg_abt,maxDL1V_abt,maxDL2V_abt,maxDL1rxn_abt,maxDL2rxn_abt,maxDL1fbpos_abt,maxDL2fbpos_abt,maxDL1fbneg_abt,maxDL2fbneg_abt,maxLLMpos_abt,maxLLMneg_abt,maxLLV_abt,maxLLrxn_abt,maxLLfbpos_abt,maxLLfbneg_abt,ctrtg_st1_pos_abt,ctrtg_st1_neg_abt,ctrtg_sv2_pos_abt,ctrtg_sv2_neg_abt,ctrtg_v_abt,DL1M_ctrtg_st1_pos_abt,DL2M_ctrtg_st1_pos_abt,LLM_ctrtg_st1_pos_abt,DL1fb_ctrtg_st1_neg_abt,DL2fb_ctrtg_st1_neg_abt,LLfb_ctrtg_st1_neg_abt,DL1fb_ctrtg_sv2_pos_abt,DL2fb_ctrtg_sv2_pos_abt,LLfb_ctrtg_sv2_pos_abt,DL1fb_ctrtg_sv2_neg_abt,DL2fb_ctrtg_sv2_neg_abt,LLfb_ctrtg_sv2_neg_abt,DL1V_ctrtg_v_abt,DL2V_ctrtg_v_abt,LLV_ctrtg_v_abt,loc_ctrtg_st1_pos_abt,loc_ctrtg_st1_neg_abt,loc_ctrtg_sv2_pos_abt,loc_ctrtg_sv2_neg_abt,loc_ctrtg_v_abt,maxDL1Mpos_pier,maxDL2Mpos_pier,maxDL1Mneg_pier,maxDL2Mneg_pier,maxDL1V_pier,maxDL2V_pier,maxDL1rxn_pier,maxDL2rxn_pier,maxDL1fbpos_pier,maxDL2fbpos_pier,maxDL1fbneg_pier,maxDL2fbneg_pier,maxLLMpos_pier,maxLLMneg_pier,maxLLV_pier,maxLLrxn_pier,maxLLfbpos_pier,maxLLfbneg_pier,ctrtg_st1_pos_pier,ctrtg_st1_neg_pier,ctrtg_sv2_pos_pier,ctrtg_sv2_neg_pier,ctrtg_v_pier,DL1M_ctrtg_st1_pos_pier,DL2M_ctrtg_st1_pos_pier,LLM_ctrtg_st1_pos_pier,DL1fb_ctrtg_st1_neg_pier,DL2fb_ctrtg_st1_neg_pier,LLfb_ctrtg_st1_neg_pier,DL1fb_ctrtg_sv2_pos_pier,DL2fb_ctrtg_sv2_pos_pier,LLfb_ctrtg_sv2_pos_pier,DL1fb_ctrtg_sv2_neg_pier,DL2fb_ctrtg_sv2_neg_pier,LLfb_ctrtg_sv2_neg_pier,DL1V_ctrtg_v_pier,DL2V_ctrtg_v_pier,LLV_ctrtg_v_pier,loc_ctrtg_st1_pos_pier,loc_ctrtg_st1_neg_pier,loc_ctrtg_sv2_pos_pier,loc_ctrtg_sv2_neg_pier,loc_ctrtg_v_pier
Steel_3_1_62,16577413.23,2138724.523,-20081777.68,-3573650.817,78718.5402,16511.48378,53140.54164,10914.36488,8696.200456,975.6721461,-11070.27318,-1872.533452,15632962,-12360488,55706.59375,61312.94531,6572.943848,-6476.689453,3.167934803,2.560552282,4.447725038,3.281549732,1.975714207,15318216.6,1416008.723,14884619,-10519.79539,-1850.552515,-6476.689453,8630.565967,881.8492678,6569.924805,-10519.79539,-1850.552515,-6476.689453,,,,"0.65625,2,3","0.03125,7,3","0.625,1,3","0.03125,7,3","2,3,1,1",16577414.94,2138727.341,-20081761.63,-3573613.998,78718.50658,16511.62406,53140.55339,10914.36919,8696.22738,975.6734319,-11070.26388,-1872.51416,15633036,-12360487,55706.57422,61313.19531,6572.974609,-6476.688965,3.167926352,2.560554807,4.447705968,3.28155249,1.97535181,15318217.39,1416006.633,14884659,-10519.77885,-1850.54791,-6476.688965,8630.564054,881.847486,6569.953613,-10519.77885,-1850.54791,-6476.688965,,,,"0.65625,2,3","0.03125,7,3","0.625,1,3","0.03125,7,3","2,3,1,1"
Steel_3_1_63,7808943.293,1671446.28,-9799783.894,-2624888.411,57682.66199,16445.52777,38931.78574,11179.00411,8506.112145,1434.760361,-10674.57395,-2725.613913,11230802,-8305972.5,60566.83203,71622.8125,9030.422852,-9047.395508,2.503774204,1.299639375,3.326123271,2.506373798,1.746510625,7705952.492,67037.22027,11230802,-10580.57343,41.59713072,-9041.87793,8393.929303,58.88122065,9030.422852,-10580.57343,41.59713072,-9041.87793,37410.9683,1718.35195,71621.98438,"0.66667,5,3","0.047619,3,3","0.66667,5,3","0.047619,3,3","1,2",7808943.812,1671446.731,-9799783.643,-2624885.987,57682.65646,16445.52164,38931.79256,11178.97999,8506.11285,1434.760748,-10674.5732,-2725.611396,11230800,-8305968.5,60566.83203,71622.8125,9030.421875,-9047.391602,2.503774558,1.299639448,3.326123572,2.506373996,1.746491075,7705953.643,67037.50991,11230800,-10580.57433,41.59718098,-9041.876953,8393.929747,58.88147505,9030.421875,-10580.57433,41.59718098,-9041.876953,37410.9719,1718.350272,71622.78125,"0.66667,5,3","0.047619,3,3","0.66667,5,3","0.047619,3,3","1,2"
Steel_3_1_64,21728209.45,4235102.433,-27570171.09,-6671548.275,98005.19025,25579.81554,66705.64563,16905.17018,10199.28348,1650.363913,-12941.45977,-2921.591509,21991210,-17041568,80260.60938,87611.89063,8267.157227,-7999.318848,2.272371116,1.684366647,3.461838504,2.614333617,2.049616575,21456447.96,548306.2119,21991210,-12865.67386,52.42849357,-7999.318848,10071.73248,222.8353527,8267.157227,-12865.67386,52.42849357,-7999.318848,62139.7061,5745.584826,87602.875,"0.62857,5,3","1,5,2","0.62857,5,3","1,5,2","1,2",21728238.6,4235305.404,-27570196.15,-6671528.542,98005.13935,25579.81166,66705.39743,16904.57318,10199.31258,1650.443008,-12941.458,-2921.582867,21991348,-17041590,80264.5625,87612.85938,8267.208984,-7999.32959,2.272356382,1.684365757,3.461815762,2.614331583,2.049388409,21456454.81,548313.9618,21991348,-12865.66362,52.43360272,-7999.32959,10071.74082,222.8385024,8267.208984,-12865.66362,52.43360272,-7999.32959,62139.40779,5745.222091,87612.85938,"0.62857,5,3","1,5,2","0.62857,5,3","1,5,2","1,2"
Steel_3_1_65,10891465.44,2143580.375,-13672166.04,-3096525.89,73482.18922,16415.40321,51574.04516,13357.30507,9115.095887,1522.913149,-11442.21904,-2591.448222,13002977,-11589492,69326.125,81843.17969,8475.991211,-9699.117188,2.421739819,0.991794967,3.383652427,2.064133412,1.86655736,10747431.85,1719943.491,13002977,-11382.19837,-2591.448222,-9699.117188,8994.310248,1221.939046,8475.991211,-11382.19837,-2591.448222,-9699.117188,,,,"0.54167,5,3","0.041667,5,3","0.54167,5,3","0.041667,5,3","2,3,1,1",10891418.65,2143580.402,-13672147.81,-3096525.444,73482.1383,16415.40227,51574.05886,13357.30508,9114.877054,1522.913168,-11442.14875,-2591.447849,13002986,-11589493,69326.13281,81843.19531,8475.99707,-9699.118164,2.421737903,0.99179758,3.38364908,2.064136126,1.866526961,10747436.16,1719943.559,13002986,-11382.1619,-2591.447849,-9699.118164,8994.321309,1221.939094,8475.99707,-11382.1619,-2591.447849,-9699.118164,,,,"0.54167,5,3","0.041667,5,3","0.54167,5,3","0.041667,5,3","2,3,1,1"
Steel_3_1_66,33707274.71,3030046.675,-40910818.37,-4602439.305,143772.0335,17777.55922,92079.93216,12404.15173,12288.54596,991.9481531,-15516.39958,-1677.890075,27034632,-22673992,88154.78125,99150.36719,8245.421875,-8266.152344,1.748800671,1.560496533,3.217702483,2.209203957,1.964478016,33259215.91,2700617.97,27034632,-14605.40724,-1654.491354,-8266.152344,12125.18834,884.1028853,8245.421875,-14605.40724,-1654.491354,-8266.152344,,,,"0.65789,1,3","0.026316,6,3","0.65789,1,3","0.026316,6,3","2,3,1,1",33707208.2,3030049.623,-40910822.24,-4602373.599,143771.9549,17777.72814,92079.97538,12404.15438,12288.48411,991.9491184,-15516.38455,-1677.866121,27034728,-22673996,88156.64063,99151.74219,8245.451172,-8266.154297,1.748794752,1.560500127,3.217690887,2.209207703,1.964154005,33259208.54,2700614.334,27034728,-14605.36493,-1654.487798,-8266.154297,12125.19128,884.101695,8245.451172,-14605.36493,-1654.487798,-8266.154297,,,,"0.65789,1,3","0.026316,6,3","0.65789,1,3","0.026316,6,3","2,3,1,1"
Steel_3_1_67,27818803.29,2888854.955,-36415646.69,-4330063.93,124500.2271,17427.66468,81729.02231,11575.90225,10349.0816,982.7752102,-12725.23685,-1688.206902,26202006,-19326340,79815.69531,94234.78906,8218.488281,-7534.960449,2.088745555,1.863168713,3.397309779,2.641409315,2.35453248,26269576.86,2824864.607,26202006,-12438.00396,-1688.206902,-7534.960449,10242.01823,961.005987,8218.488281,-12438.00396,-1688.206902,-7534.960449,,,,"0.59459,5,3","0.027027,5,3","0.59459,5,3","0.027027,5,3","2,3,5,5",27818804.02,2888967.032,-36415649.69,-4330052.354,124500.2005,17427.65743,81729.0282,11575.60433,10349.0793,982.8133383,-12725.24105,-1688.202389,26202120,-19326334,79815.70313,94234.85938,8218.524414,-7534.958008,2.088736337,1.863171935,3.397293716,2.64141299,2.354480267,26269576.86,2824869.362,26202120,-12437.98086,-1688.202389,-7534.958008,10242.02865,961.0076048,8218.524414,-12437.98086,-1688.202389,-7534.958008,,,,"0.59459,5,3","0.027027,5,3","0.59459,5,3","0.027027,5,3","2,3,5,5"
Steel_3_1_68,4176642.239,1145679.182,-4957258.153,-2049738.989,35690.0387,14833.0049,28914.56215,10865.44139,6593.464885,1505.935506,-7826.516521,-3236.006935,4913664,-4249177,47806.13281,56013.74609,6082.792969,-7005.070801,4.354688278,1.486830911,5.300180429,3.57939653,2.082286835,3311957.659,94488.75815,4913664,-7569.118704,19.02580734,-6973.652344,5460.045871,128.0838096,6082.792969,-7569.118704,19.02580734,-6973.652344,20483.15465,0,56013.74609,"0.63158,3,3","0.052632,8,3","0.63158,3,3","0.052632,8,3","1,5",4176643.203,1145679.268,-4957253.641,-2049738.765,35690.09018,14833.00491,28914.42918,10865.44165,6593.41998,1505.93562,-7826.491615,-3236.006582,4913663.5,-4249177.5,47806.13281,56013.84766,6082.79248,-7005.071289,4.35468872,1.486829843,5.300180822,3.579395381,2.082282543,3311957.674,94488.75124,4913663.5,-7569.129389,19.02607013,-6973.652344,5460.046132,128.0838003,6082.79248,-7569.129389,19.02607013,-6973.652344,20483.17869,0,56013.84766,"0.63158,3,3","0.052632,8,3","0.63158,3,3","0.052632,8,3","1,5"
Steel_3_1_69,13717539.86,2308728.562,-16386320.86,-3639401.849,82235.92553,18390.80899,61866.87389,13480.05563,10287.36133,1468.423376,-12483.67375,-2729.359002,14187759,-12297337,78217.17188,85373.17188,8250.5,-9222.352539,2.242948296,1.171533851,3.371414869,2.092563945,1.916803479,13717539.86,2095636.967,14077587,-12182.76986,-2729.359002,-9222.352539,10287.29068,1332.890475,8186.432617,-12182.76986,-2729.359002,-9222.352539,,,,"0.57692,6,3","0.038462,6,3","0.57692,6,3","0.038462,6,3","2,3,1,1",13717541.35,2308729.16,-16386283.3,-3639399.981,82235.81698,18390.80896,61866.90406,13480.05699,10287.2934,1468.423756,-12483.62284,-2729.357601,14187766,-12297336,78217.17188,85373.17188,8250.503906,-9222.351563,2.242947222,1.171535249,3.371413155,2.092565539,1.916776299,13717541.35,2095637.817,14077593,-12182.75481,-2729.357601,-9222.351563,10287.2934,1332.891015,8186.436035,-12182.75481,-2729.357601,-9222.351563,,,,"0.57692,6,3","0.038462,6,3","0.57692,6,3","0.038462,6,3","2,3,1,1"
Steel_3_1_70,24151618.96,3153770.113,-28760702.4,-4782908.812,107120.5277,18347.82598,76848.76348,13572.22422,10471.51873,1228.961932,-12598.7522,-2073.699375,16539824,-14713340,72248.8125,72833.73438,6222.379883,-6379.181641,3.070578466,2.047191003,4.68514254,3.072106206,1.896368742,19191143.5,1709285.103,16539824,-12449.52007,-2073.699375,-6379.181641,8905.691357,695.7509511,6222.379883,-12449.52007,-2073.699375,-6379.181641,,,,"0.59459,5,3","0.027027,7,3","0.59459,5,3","0.027027,7,3","2,3,1,1",24151653.09,3153775.567,-28760659.6,-4782892.081,107120.4742,18348.13065,76848.83928,13572.22916,10471.17362,1228.964057,-12598.74416,-2073.692121,16539838,-14713348,72248.89063,72834.9375,6222.385254,-6379.185059,3.070575401,2.047194515,4.685136743,3.072109523,1.896239996,19191150.16,1709289.237,16539838,-12449.48616,-2073.692121,-6379.185059,8905.703852,695.7526335,6222.385254,-12449.48616,-2073.692121,-6379.185059,,,,"0.59459,5,3","0.027027,7,3","0.59459,5,3","0.027027,7,3","2,3,1,1"
Steel_3_1_71,2871909.995,662015.2533,-4812688.694,-1324932.025,44767.59215,10587.43333,32784.19453,7751.241105,10381.15848,1632.856627,-7627.317751,-2085.901062,4270026,-5344521.5,60505.35938,77200.92188,9296.398438,-8469.603516,1.707979374,2.655488986,3.062628172,2.973519096,2.014949083,2859397.449,62273.38472,4270026,-7273.133908,13.02003979,-8469.603516,10335.7613,151.4034158,9296.398438,-7273.133908,13.02003979,-8469.603516,32784.19453,0,77200.92188,"0.69231,2,3","0.076923,5,3","0.69231,2,3","0.076923,5,3","1,5",2871912.517,662015.2468,-4812688.082,-1324932.066,44767.58554,10587.43343,32784.22497,7751.241064,10381.16844,1632.856611,-7627.316831,-2085.901127,4270029,-5344522.5,60505.37109,77200.85938,9296.404297,-8469.604492,1.707978152,2.655488752,3.062625967,2.973518831,2.014950514,2859397.516,62273.44971,4270029,-7273.132943,13.01992793,-8469.604492,10335.76447,151.4035738,9296.404297,-7273.132943,13.01992793,-8469.604492,32784.22497,0,77200.85938,"0.69231,2,3","0.076923,5,3","0.69231,2,3","0.076923,5,3","1,5"
