id,suite,type,spans,length,width,n_lanes,skew,gdr_spacing,n_gdr,span2depth,t_deck,n_dia,dia_spacing,dia_type,dia_section,intgdr_Ix,ingdr_A,intgdr_d,intgdr_tw,intgdr_tf,intgdr_bf,intgdr_sectcomp,intgdr_flangecomp,intgdr_webcomp,intgdr_mnpos,intgdr_fnneg,intgdr_vn,intgdr_dfm,intgdr_dfv,extgdr_Ix,exgdr_A,extgdr_d,extgdr_tw,extgdr_tf,extgdr_bf,extgdr_sectcomp,extgdr_flangecomp,extgdr_webcomp,extgdr_mnpos,extgdr_fnneg,extgdr_vn,extgdr_dfm,extgdr_dfv,dia_emultiplier,dia_e,gdr_e,deck_e,intgdr_dlmpos,intgdr_sdlmpos,intgdr_llmpos,intgdr_dlmneg,intgdr_sdlmneg,intgdr_llmneg,intgdr_dlv,intgdr_sdlv,intgdr_llv,intgdr_ftgstress,intgdr_st1rtgpos,intgdr_sv2rtgpos,intgdr_st1rtgneg,intgdr_sv2rtgneg,intgdr_vrtg,extgdr_dlmpos,extgdr_sdlmpos,extgdr_llmpos,extgdr_dlmneg,extgdr_sdlmneg,extgdr_llmneg,extgdr_dlv,extgdr_sdlv,extgdr_llv,extgdr_ftgstress,extgdr_st1rtgpos,extgdr_sv2rtgpos,extgdr_st1rtgneg,extgdr_sv2rtgneg,extgdr_vrtg
Steel_2_2_54,2,Steel,2,1075.215053,723.958161,5,25.79825155,120.6596935,7,23.17239973,8.487348501,5,179.2025089,Chevron,L2X2X1/8,30509.23658,78.62322987,46,0.469386283,2.753547114,10.82538502,1,0,1,76032391.7,41808.69187,336993.5857,0.748672715,1.045450453,31449.47652,80.40368099,46,0.44722181,2.904687867,10.74634524,1,0,1,77477497.78,41772.51044,293665.933,0.782296303,0.855493268,17.71585148,513759692.9,29000000,3604996.533,8641894.375,653166.449,23118895.61,-15364210.81,-1161248.516,-26562525.55,71447.15263,5400.075603,131688.7167,11999.99313,2.130924917,3.053804545,1.000012066,1.809841589,1.028037636,8685394.219,653166.449,23118895.61,-15441548.11,-1161248.516,-26562525.55,71806.78906,5400.075603,131688.7167,11999.99307,2.130924917,3.053804545,1.000012066,1.809841589,1.028037636
Steel_2_2_55,2,Steel,2,1371.205928,530.5420234,3,35.52389301,106.1084047,6,21.54781937,8.158580934,6,195.8865611,Chevron,L2X2X1/8,56622.49226,83.52535063,63,0.546749809,2.300477579,11.21412451,1,0,1,97685753.41,40419.53647,369291.7209,0.649406406,0.978357056,59359.9481,86.00388574,63,0.522949232,2.573326446,10.83219006,1,0,1,101720102.6,40054.30566,326181.6261,0.689699834,0.81154903,29.61167449,858738560.1,29000000,3604996.533,12554487.2,1239351.018,32644310.05,-22319851.65,-2203366.051,-36957821.36,81387.67198,8034.409734,150404.3797,11999.99326,2.174234819,3.290293258,1.000016723,1.926688842,1.039012128,12652972.65,1239351.018,32644310.05,-22494942.88,-2203366.051,-36957821.36,82026.12907,8034.409734,150404.3797,11999.99993,2.174234819,3.290293258,1.000016723,1.926688842,1.039012128
Steel_2_2_56,2,Steel,2,1197.827809,785.3513675,5,54.37977657,112.1930525,8,24.55630076,8.210721104,5,199.6379682,Chevron,L2X2X1/8,33892.64027,81.16593284,48,0.499104923,2.77197821,10.81825107,1,0,1,76877041.16,40164.88761,386407.3996,0.610021599,1.148333811,38124.09637,85.43640018,48,0.486550498,1.45155792,21.87115233,1,0,1,86246159.17,47895.54001,337012.9749,0.649997562,0.945330689,21.2912447,617446096.3,29000000,3604996.533,10072364.52,709212.9354,26958111.09,-17909609.73,-1261047.182,-30684873.37,74758.69901,5263.891739,142506.6514,11999.99993,2.20848277,3.335725257,1.000000146,1.944152797,1.02297624,10201841.18,709212.9354,26958111.09,-18139831.4,-1261047.182,-30684873.37,75719.69551,5263.891739,142506.6514,11999.73858,2.20848277,3.335725257,1.000000146,1.944152797,1.02297624
Steel_2_2_57,2,Steel,2,776.1639284,700.1029982,4,30.92921673,116.683833,7,21.39344087,8.954761154,4,155.2327857,Chevron,L2X2X1/8,13015.80011,55.14444846,36,0.401733976,2.471694469,8.631316115,1,0,1,46339921.47,40689.05889,275467.9151,0.704605181,1.064120706,13460.94823,56.67834238,36,0.381575928,2.632654921,8.537147065,1,0,1,47339897.7,40597.84503,238519.2649,0.737576979,0.874943711,5.699064533,165272871.5,29000000,3604996.533,4284167.98,340299.3609,14446881.99,-7618101.732,-605119.8653,-15524099.45,49075.33998,3898.144729,112348.6782,11999.95173,2.280529232,3.087961038,1.000079331,2.005424552,1.023453017,4303691.272,340299.3609,14446881.99,-7652818.023,-605119.8653,-15524099.45,49298.98017,3898.144729,112348.6782,11999.99998,2.280529232,3.087961038,1.000079331,2.005424552,1.023453017
Steel_2_2_58,2,Steel,2,538.7749001,710.9585183,4,8.21901834,88.86981479,9,20.34964962,8.445650019,3,134.693725,Beam,C15X33.9,4532.290442,37.79511115,26,0.313147903,2.606906858,6.000590395,1,0,1,26601250.89,37265.71777,171513.8348,0.621647517,0.801970575,4612.921562,38.5383084,26,0.312500221,2.673694729,6.000004918,1,0,1,26784773.98,37283.49097,170805.0864,0.632878305,0.656987795,8.462776399,245420515.6,29000000,3604996.533,1543930.534,127556.7475,8289451.474,-2744916.007,-226779.9945,-6637003.357,25473.68118,2104.589453,97623.20092,11999.93635,2.719138068,3.30666176,1.28496617,3.05203213,1.019433725,1548489.079,127556.7475,8289451.474,-2753020.532,-226779.9945,-6637003.357,25548.89372,2104.589453,97623.20092,11999.99947,2.719138068,3.30666176,1.28496617,3.05203213,1.019433725
Steel_2_2_59,2,Steel,2,1047.313526,755.1902127,5,3.144151632,75.51902127,11,22.53610905,8.833920019,5,174.5522543,Chevron,L2X2X1/8,24858.8699,63.93475312,46,0.413774688,2.252303296,10.38159686,1,0,1,66073110.82,41494.28212,225268.9153,0.527132719,0.700199527,26611.55709,66.06609638,46,0.39647934,1.777975971,13.84661802,1,0,1,70230304.47,45024.79367,193755.6082,0.552329891,0.55870148,7.72867849,224131676.2,29000000,3604996.533,5873626.753,394328.734,22268017.24,-10443382.87,-701121.4911,-25611861.39,49857.95855,3347.237832,129559.6633,11999.95802,2.839130164,3.740968448,1.308595326,2.316684647,1.02639677,5923029.099,394328.734,22268017.24,-10531220.87,-701121.4911,-25611861.39,50277.30766,3347.237832,129559.6633,11995.64004,2.839130164,3.740968448,1.308595326,2.316684647,1.02639677
Steel_2_2_60,2,Steel,2,1353.724338,746.8380042,5,38.19473405,106.6911435,8,20.47712366,8.791509054,6,193.3891911,Chevron,L2X2X1/8,56884.17886,79.25543285,66,0.562645992,1.806538455,12.22052055,1,0,1,93800612.07,41505.36419,376722.4618,0.639319868,0.999313721,115708.1288,146.5571716,66,0.528151283,5.329001155,11.00846305,1,0,1,211783282.8,41130.61763,351260.7134,0.681475678,0.811604729,7.245668144,210124376.2,29000000,3604996.533,13006878.84,905923.5313,32057647.13,-23125151.2,-1610656.86,-36308586.02,85413.07322,5948.983907,150106.0602,11999.96354,2.136652084,3.326373777,1.000099424,1.912852211,1.028383388,15619879.63,905923.5313,32057647.13,-27770849.75,-1610656.86,-36308586.02,102572.0266,5948.983907,150106.0602,6179.039772,2.136652084,3.326373777,1.000099424,1.912852211,1.028383388
Steel_2_2_61,2,Steel,2,1290.690008,752.7615011,5,10.82077485,125.4602502,7,26.38758657,8.71291315,6,184.3842869,Chevron,L2-1/2X1-1/2X3/16,41827.95387,96.80865715,48,0.49995128,2.8099988,13.45565,1,0,1,88898275.65,44222.89784,389073.3384,0.747534422,1.018232336,43491.99676,99.84419991,48,0.477285978,2.94831322,13.52448741,1,0,1,91901535.61,44328.11798,340744.2432,0.798279137,0.827418661,14.48477345,420058430.1,29000000,3604996.533,13723874.33,941097.7267,29959164.43,-24401718.01,-1673317.665,-34000504.76,94529.73935,6482.260086,147484.3202,11999.99446,1.806018413,2.931085769,1.000009576,1.655693941,1.030851527,13830731.79,941097.7267,29959164.43,-24591715.78,-1673317.665,-34000504.76,95265.7711,6482.260086,147484.3202,11999.99446,1.806018413,2.931085769,1.000009576,1.655693941,1.030851527
Steel_2_2_62,2,Steel,2,576.4010228,868.3814063,6,42.86816771,86.83814063,11,26.95432119,7.725567837,3,144.1002557,Beam,C12X20.7,3249.985543,46.41538616,21,0.484016881,3.285795707,6.000341525,1,0,1,24208854.31,36089.38643,202524.2062,0.562773713,0.947773151,3318.978468,47.14369701,21,0.418308403,3.435964102,6.000325474,1,0,1,24319124.28,36192.50265,171386.8433,0.576988381,0.7716231,25.26004287,732541243.2,29000000,3604996.533,1667398.917,119457.0724,9223552.245,-2964264.741,-212368.1287,-7299571.28,25713.56247,1842.190769,101328.5652,11999.94643,2.422065017,3.089358369,1.001506181,2.78962844,1.013794693,1672512.878,119457.0724,9223552.245,-2973356.228,-212368.1287,-7299571.28,25792.42672,1842.190769,101328.5652,11999.94474,2.422065017,3.089358369,1.001506181,2.78962844,1.013794693
Steel_2_2_63,2,Steel,2,1831.483905,790.6465741,5,27.92957151,112.9495106,8,25.21191377,8.674676103,8,203.4982116,Chevron,L2-1/2X1-1/2X3/16,99643.79512,109.7974717,72,0.623875304,1.671552552,20.03051905,1,0,1,120895941.7,46680.92998,466679.3889,0.681523416,0.992162663,106470.7162,114.7231325,72,0.599500666,1.943548584,19.00888984,1,0,1,130819961.6,46320.97512,417396.7037,0.753782927,0.818970006,19.881356,576559323.9,29000000,3604996.533,26726134.42,1658260.436,49261607.19,-47515157.66,-2948144.495,-55445623.22,129717.6501,8048.513251,169598.4127,11999.99897,1.461146164,2.915613943,1.000002501,1.514491896,1.034167031,27075310.68,1658260.436,49261607.19,-48135941.97,-2948144.495,-55445623.22,131412.4079,8048.513251,169598.4127,11999.99491,1.461146164,2.915613943,1.000002501,1.514491896,1.034167031
