id,maxDL1Mpos_abt,maxDL2Mpos_abt,maxDL1Mneg_abt,maxDL2Mneg_abt,maxDL1V_abt,maxDL2V_abt,maxDL1rxn_abt,maxDL2rxn_abt,maxDL1fbpos_abt,maxDL2fbpos_abt,maxDL1fbneg_abt,maxDL2fbneg_abt,maxLLMpos_abt,maxLLMneg_abt,maxLLV_abt,maxLLrxn_abt,maxLLfbpos_abt,maxLLfbneg_abt,ctrtg_st1_pos_abt,ctrtg_st1_neg_abt,ctrtg_sv2_pos_abt,ctrtg_sv2_neg_abt,ctrtg_v_abt,DL1M_ctrtg_st1_pos_abt,DL2M_ctrtg_st1_pos_abt,LLM_ctrtg_st1_pos_abt,DL1fb_ctrtg_st1_neg_abt,DL2fb_ctrtg_st1_neg_abt,LLfb_ctrtg_st1_neg_abt,DL1fb_ctrtg_sv2_pos_abt,DL2fb_ctrtg_sv2_pos_abt,LLfb_ctrtg_sv2_pos_abt,DL1fb_ctrtg_sv2_neg_abt,DL2fb_ctrtg_sv2_neg_abt,LLfb_ctrtg_sv2_neg_abt,DL1V_ctrtg_v_abt,DL2V_ctrtg_v_abt,LLV_ctrtg_v_abt,loc_ctrtg_st1_pos_abt,loc_ctrtg_st1_neg_abt,loc_ctrtg_sv2_pos_abt,loc_ctrtg_sv2_neg_abt,loc_ctrtg_v_abt,maxDL1Mpos_pier,maxDL2Mpos_pier,maxDL1Mneg_pier,maxDL2Mneg_pier,maxDL1V_pier,maxDL2V_pier,maxDL1rxn_pier,maxDL2rxn_pier,maxDL1fbpos_pier,maxDL2fbpos_pier,maxDL1fbneg_pier,maxDL2fbneg_pier,maxLLMpos_pier,maxLLMneg_pier,maxLLV_pier,maxLLrxn_pier,maxLLfbpos_pier,maxLLfbneg_pier,ctrtg_st1_pos_pier,ctrtg_st1_neg_pier,ctrtg_sv2_pos_pier,ctrtg_sv2_neg_pier,ctrtg_v_pier,DL1M_ctrtg_st1_pos_pier,DL2M_ctrtg_st1_pos_pier,LLM_ctrtg_st1_pos_pier,DL1fb_ctrtg_st1_neg_pier,DL2fb_ctrtg_st1_neg_pier,LLfb_ctrtg_st1_neg_pier,DL1fb_ctrtg_sv2_pos_pier,DL2fb_ctrtg_sv2_pos_pier,LLfb_ctrtg_sv2_pos_pier,DL1fb_ctrtg_sv2_neg_pier,DL2fb_ctrtg_sv2_neg_pier,LLfb_ctrtg_sv2_neg_pier,DL1V_ctrtg_v_pier,DL2V_ctrtg_v_pier,LLV_ctrtg_v_pier,loc_ctrtg_st1_pos_pier,loc_ctrtg_st1_neg_pier,loc_ctrtg_sv2_pos_pier,loc_ctrtg_sv2_neg_pier,loc_ctrtg_v_pier
Steel_2_1_1,20956133.07,2353717.988,-35960946.69,-4600521.831,123093.2475,18764.84907,74665.98509,11654.59156,6741.798562,588.5542535,-12379.26414,-1260.041966,26956624,-19792292,78003.13281,81604.98438,6457.40625,-6088.75,3.067751675,2.534610846,4.862096582,3.429636788,1.369734049,12079691.38,816360.6905,15730123,-12379.26414,-473.8745709,-6088.75,6323.907338,360.5999497,6457.40625,-12379.26414,-473.8745709,-6088.75,70662.98055,9819.762831,69554.96094,"0.44828,2,1","0.034483,3,2","0.44828,2,1","0.034483,3,2","2,6",20956125.33,2353717.317,-35960953.73,-4600524.891,123093.2956,18764.85198,74665.97327,11654.53478,6741.794869,588.5540856,-12379.26435,-1260.042804,26956666,-19792156,78003.42188,81604.95313,6457.550293,-6088.772461,3.067682932,2.534601352,4.861987756,3.429623981,1.369729161,12079699.06,816359.4292,15730474,-12379.26435,-473.8755941,-6088.772461,6323.911014,360.5993926,6457.550293,-12379.26435,-473.8755941,-6088.772461,70662.79232,9819.707526,69550.10938,"0.44828,2,1","0.034483,3,2","0.44828,2,1","0.034483,3,2","2,6"
Steel_2_1_2,17030612.88,2693583.092,-27854579.87,-4937573.473,99010.84428,18483.38499,60731.02784,13809.08148,8212.115792,1179.448625,-13256.46813,-2380.89187,18745116,-18513550,93075.77344,113909.7969,7638.769043,-8927.210938,2.475089633,1.217462414,3.949568842,2.109373717,1.082511544,16555043.63,2338267.095,18306350,-13189.33379,-2330.594848,-8927.210938,7378.267549,900.9349852,7638.769043,-13189.33379,-2330.594848,-8927.210938,60721.74505,11606.01878,113909.7969,"0.48571,1,1","0.028571,7,2","0.68571,1,2","0.028571,7,2","1,7",17030557.54,2693580.142,-27854561.5,-4937554.297,99010.81895,18483.33555,60731.12364,13809.07721,8212.047853,1179.447334,-13256.42682,-2380.882624,18745100,-18513932,93076.3125,113907.2656,7638.762207,-8927.395508,2.475050551,1.217436484,3.949571978,2.10932929,1.082537413,16554986.21,2338238.108,18306664,-13189.32985,-2330.608277,-8927.395508,7378.272491,900.9340005,7638.762207,-13189.32985,-2330.608277,-8927.395508,60721.46448,11605.99573,113907.2656,"0.48571,1,1","0.028571,7,2","0.68571,1,2","0.028571,7,2","1,7"
Steel_2_1_3,6129337.39,1455182.119,-10337132.54,-2709056.078,62515.41171,15200.51343,45165.23916,11298.64531,5762.048603,1198.51478,-9718.35353,-2546.84313,10229487,-9588944,80955.16406,83662.40625,7855.574707,-9014.777344,2.701836223,1.843917639,3.99141821,2.382184521,1.431200624,6098032.485,1221554.502,10229487,-9535.83491,-2546.84313,-9014.777344,5732.556109,1006.094775,7855.574707,-9535.83491,-2546.84313,-9014.777344,41628.12898,7811.356031,72803.89844,"0.6,5,2","0.05,5,2","0.6,5,2","0.05,5,2","2,5",6129330.787,1455181.788,-10337132.93,-2709057.151,62515.39388,15200.52008,45165.24321,11298.64411,5762.042795,1198.514508,-9718.3333,-2546.844139,10229486,-9588956,80955.25,83662.35938,7855.574219,-9014.788086,2.701837055,1.843914346,3.991419131,2.382180502,1.431199193,6098024.884,1221553.969,10229486,-9535.847728,-2546.844139,-9014.788086,5732.549676,1006.094335,7855.574219,-9535.847728,-2546.844139,-9014.788086,41628.02434,7811.347152,72803.45313,"0.6,5,2","0.05,5,2","0.6,5,2","0.05,5,2","2,5"
Steel_2_1_4,18320297.56,1924276.584,-30260064,-3999472.155,89774.07689,15534.70895,56547.38394,11960.45928,7739.636985,729.4115129,-13263.97534,-1689.63191,19870596,-18132592,84767.71875,90441.83594,6941.893066,-7660.362305,2.931540383,1.662310178,4.360218896,2.563307474,1.118458152,17850830.9,1609426.701,19870596,-12783.74496,-1689.63191,-7660.362305,7541.309389,610.0652965,6941.893066,-12783.74496,-1689.63191,-7660.362305,53794.40737,10068.85597,83514.73438,"0.65789,1,2","0.026316,14,2","0.65789,1,2","0.026316,14,2","2,14",18320269.41,1924421.501,-30260062.85,-3999473.765,89774.21721,15534.73954,56547.33168,11959.22462,7739.634371,729.4664446,-13263.98184,-1689.63259,19870500,-18133334,84771.125,90402.59375,6941.859863,-7660.675781,2.931555622,1.662244299,4.36024045,2.563204891,1.11841166,17850800.12,1609427.565,19870500,-12783.72128,-1689.63259,-7660.675781,7541.302748,610.065624,6941.859863,-12783.72128,-1689.63259,-7660.675781,53792.94933,10067.64394,83476.03125,"0.65789,1,2","0.026316,14,2","0.65789,1,2","0.026316,14,2","2,14"
Steel_2_1_5,15229623.92,2005670.43,-27141927.73,-3966758.576,108092.3572,16821.28749,61496.93714,10988.03239,7645.098437,904.7452549,-14140.36332,-1989.901577,21321372,-17243218,82392.0625,95874.50781,8970.166016,-8649.960938,2.105786749,1.654837023,3.36333673,2.245428099,1.671338797,14804153.54,1879518.393,21321372,-12760.37348,-1989.901577,-8649.960938,7431.565652,847.8388687,8970.166016,-12760.37348,-1989.901577,-8649.960938,52897.64091,8687.701605,68557.75,"0.65517,1,2","0.034483,7,2","0.65517,1,2","0.034483,7,2","2,7",15229619.23,2005689.617,-27141926.3,-3966760.685,108092.3964,16821.30779,61496.84451,10988.03016,7645.10002,904.7539101,-14140.35508,-1989.902635,21321328,-17243348,82392.4375,95874.49219,8970.147461,-8650.026367,2.105791098,1.654825302,3.363343601,2.245411972,1.671331525,14804154.41,1879517.433,21321328,-12760.36277,-1989.902635,-8650.026367,7431.567086,847.8384356,8970.147461,-12760.36277,-1989.902635,-8650.026367,52897.3695,8687.590096,68553.64063,"0.65517,1,2","0.034483,7,2","0.65517,1,2","0.034483,7,2","2,7"
Steel_2_1_6,6403383.161,1264591.537,-11400910.13,-2420231.149,61916.83282,14433.94634,37581.66186,9237.709573,6124.630649,1003.481927,-10904.43526,-2253.344992,11173930,-8279376.5,65454.01563,82174.86719,8283.916992,-7918.819824,2.844657393,1.91842506,3.841298866,2.827779019,1.633992314,6403383.161,10157.46961,11173930,-10327.65118,-563.0448258,-7918.501465,6124.630649,8.068119761,8283.916992,-10327.65118,-563.0448258,-7918.501465,36418.43689,976.2430338,82172.09375,"0.68421,4,2","1,2,1","0.68421,4,2","1,2,1","1,2",6403383.562,1264591.53,-11400911.77,-2420231.238,61916.84504,14433.94604,37581.66482,9237.695944,6124.631101,1003.481921,-10904.43668,-2253.345075,11669688,-8604961,66283.75,82659.28125,8651.453125,-8230.225586,2.723809092,1.842854299,3.6781105,2.717542198,1.624364138,6403383.562,10157.50063,11669688,-10904.43668,-19.78239258,-8230.225586,6124.631101,8.068144398,8651.453125,-10904.43668,-19.78239258,-8230.225586,36418.45513,976.2447399,82659.14063,"0.68421,4,2","0.052632,3,2","0.68421,4,2","0.052632,3,2","1,2"
Steel_2_1_7,1431034.356,398790.4282,-2533208.185,-784383.615,26555.02556,8303.728777,14883.99377,6692.674939,5027.353314,970.2500642,-8948.259609,-2707.768043,3435390.5,-3019026,42597.60547,53480.15234,7364.283203,-10664.32324,3.516734366,1.238176495,4.392239424,2.189273491,1.430894613,1377431.708,286138.4671,3435390.5,-8916.340827,-732.4029476,-10664.32324,4754.426645,696.1698337,7364.283203,-8916.340827,-732.4029476,-10664.32324,13985.23158,6692.674939,47861.15625,"0.63636,8,2","1,2,1","0.63636,8,2","1,2,1","1,8",1431034.289,398790.4409,-2533208.351,-784383.5666,26555.0356,8303.728659,14883.9945,6692.672581,5027.354284,970.2500952,-8948.259836,-2707.767876,3785855,-3127889.25,47318.29688,55369.31641,8115.557617,-11048.86816,3.191182937,1.192691761,3.985640507,2.113077897,1.236863256,1377431.621,286138.4891,3785855,-8377.536682,-2707.767876,-10153.72754,4754.426388,696.1698871,8115.557617,-8916.342442,-732.4027264,-11048.86816,13985.23306,6692.672581,55369.31641,"0.63636,8,2","0.090909,8,2","0.63636,8,2","1,2,1","1,8"
Steel_2_1_8,8535976.672,1372982.596,-15186245.73,-2708657.584,72413.10878,14859.2588,43854.11755,9662.900997,7189.377731,957.7789759,-12790.47704,-2185.735421,11333571,-8448737,65391.63281,73553.02344,7409.157715,-7115.860352,2.860043772,2.168238474,4.195256037,2.945532223,2.036505461,8250323.563,201628.7883,11333571,-12522.1112,-229.8940464,-7115.860352,6948.792882,142.8993922,7409.157715,-12522.1112,-229.8940464,-7115.860352,41873.63389,1978.032693,73552.92969,"0.63636,6,2","0.045455,3,2","0.63636,6,2","0.045455,3,2","1,2",8535971.012,1372986.563,-15186245.94,-2708657.589,72413.11667,14859.25758,43854.15485,9662.87968,7189.372805,957.7817434,-12790.47587,-2185.735425,14024379,-10300330,66167.07813,78835.3125,8993.938477,-8311.791016,2.383850581,1.857635416,3.460142995,2.504140573,1.879853249,7610843.209,1293117.894,14024379,-10781.99492,-2159.944023,-8311.791016,6141.526662,902.0661558,8993.938477,-10781.99492,-2159.944023,-8311.791016,34278.83358,7424.195542,48791.80469,"0.45455,8,1","1,8,1","0.45455,8,1","1,8,1","2,8"
Steel_2_1_9,14115030.29,1699545.07,-25372546.19,-3501147.045,95040.93431,15692.12501,57264.82732,9869.904824,7755.754155,799.8832783,-13941.26907,-1839.682605,19097862,-14302014,75166.42188,86407.08594,8363.478516,-7515.013184,2.260970994,1.928048197,3.625574836,2.583496323,2.078866005,14003579.27,1581827.159,19087290,-12937.29531,-1823.193079,-7515.013184,7358.199495,744.4798702,8358.848633,-12937.29531,-1823.193079,-7515.013184,56726.56319,2793.270164,86406.67969,"0.64286,1,2","1,6,1","0.64286,1,2","1,6,1","1,2",14115026.47,1699545.099,-25372542.77,-3501146.855,95040.91933,15692.1246,57264.8021,9869.856461,7755.753447,799.8832918,-13941.26649,-1839.682506,21426830,-16090229,72313.59375,87156.67188,9383.397461,-8454.633789,2.01410135,1.713771602,3.229707557,2.296375381,1.875001431,14003582.04,1581826.91,21426830,-12937.28997,-1823.193272,-8454.633789,7358.201644,744.4797533,9383.397461,-12937.28997,-1823.193272,-8454.633789,50979.28621,8269.771457,57248.41016,"0.64286,1,2","1,6,1","0.64286,1,2","1,6,1","2,6"
Steel_2_1_10,1678054.205,535619.217,-3105389.119,-992028.9806,28250.36322,9516.698518,17774.89838,7214.846867,5236.119396,1181.389355,-9689.889648,-3011.422627,3830685.5,-3457921.25,46920.3125,59894.60938,7474.533203,-10789.88574,3.428500958,1.270700361,4.354447821,2.191056506,1.706263423,1678054.205,-8047.453019,3827961.5,-9135.019834,-131.3559983,-10789.88574,5236.119396,-17.73417151,7469.217773,-9135.019834,-131.3559983,-10789.88574,16208.72969,0,59894.60938,"0.5,5,1","0.083333,6,2","0.5,5,1","0.083333,6,2","1,7",1678056.654,535619.2139,-3105390.969,-992029.0387,28250.39129,9516.69951,17774.89742,7214.84685,5236.127371,1181.389348,-9689.895373,-3011.422803,4404083.5,-3650567.5,48232.10156,62157.55469,8552.661133,-11391.00684,2.968020299,1.145920705,3.761285757,2.051695098,1.626146436,1588194.808,389272.8654,4404083.5,-8478.649578,-3011.422803,-10567.55469,4821.69645,858.600298,8552.661133,-8934.133301,-683.731944,-11391.00684,17774.89742,0,62157.55469,"0.66667,1,2","0.083333,8,2","0.66667,1,2","1,2,1","3,3"
