id,suite,type,spans,length,width,n_lanes,skew,gdr_spacing,span2depth,t_deck,n_dia,dia_spacing,dia_type,dia_section,intgdr_Ix,ingdr_A,intgdr_d,intgdr_tw,intgdr_tf,intgdr_bf,intgdr_sectcomp,intgdr_flangecomp,intgdr_webcomp,intgdr_mnpos,intgdr_fnneg,intgdr_vn,intgdr_dfm,intgdr_dfv,extgdr_Ix,exgdr_A,extgdr_d,extgdr_tw,extgdr_tf,extgdr_bf,extgdr_sectcomp,extgdr_flangecomp,extgdr_webcomp,extgdr_mnpos,extgdr_fnneg,extgdr_vn,extgdr_dfm,extgdr_dfv,dia_emultiplier,dia_e,gdr_e,deck_e,intgdr_dlmpos,intgdr_sdlmpos,intgdr_llmpos,intgdr_dlmneg,intgdr_sdlmneg,intgdr_llmneg,intgdr_dlv,intgdr_sdlv,intgdr_llv,intgdr_ftgstress,intgdr_st1rtgpos,intgdr_sv2rtgpos,intgdr_st1rtgneg,intgdr_sv2rtgneg,intgdr_vrtg,extgdr_dlmpos,extgdr_sdlmpos,extgdr_llmpos,extgdr_dlmneg,extgdr_sdlmneg,extgdr_llmneg,extgdr_dlv,extgdr_sdlv,extgdr_llv,extgdr_ftgstress,extgdr_st1rtgpos,extgdr_sv2rtgpos,extgdr_st1rtgneg,extgdr_sv2rtgneg,extgdr_vrtg
Steel_1_1_77,1,Steel,1,1575.195945,598.7555255,4,18.33983078,85.53650364,29.5226608,8.313439516,7,225.0279922,Chevron,L2X2X1/8,48061.72946,111.2995627,53,1.033179557,3.098949805,10.15579362,1,,,143441928,,1402294.228,0.5595816,0.798052351,53358.36362,103.9260845,53,0.443240475,4.276823096,9.846755369,1,,,132586765.4,,258518.4192,0.61077788,0.647847498,11.32999741,328569924.9,29000000,3604996.533,28845389.7,2180652.257,49813765.72,,,,73253.28829,5537.798243,143077.1805,11999.51885,2.14586458,1.998027462,,,6.559528852,28158029.35,2180652.257,49813765.72,,,,71507.72664,5537.798243,143077.1805,11999.99976,2.14586458,1.998027462,,,6.559528852
Steel_1_1_78,1,Steel,1,1381.440711,529.1435579,3,23.14781017,132.2858895,21.86925252,8.928341345,6,230.2401185,Chevron,L2-1/2X1-1/2X3/16,59674.15916,87.46115886,63,0.546795253,2.663062418,10.50019657,1,,,152473631.5,,374028.3033,0.783011414,1.098014778,62133.83993,89.21818193,63,0.520347323,2.726807092,10.86876924,1,,,147772852.6,,323051.1686,0.819006984,0.881616499,14.27872689,414083079.7,29000000,3604996.533,28118602.99,2683454.253,41363043.49,,,,81424.35388,7770.603996,136626.3785,11999.9939,2.011243751,1.820151201,,,1.03701177,28244575.95,2683454.253,41363043.49,,,,81789.13968,7770.603996,136626.3785,11999.40055,2.011243751,1.820151201,,,1.03701177
Steel_1_1_79,1,Steel,1,970.7426075,459.7785536,3,50.86994456,65.68265052,22.5615899,7.618673331,5,194.1485215,Chevron,L2X2X1/8,17926.36041,54.41494504,43,0.379458146,2.80632943,7.167371988,1,,,60716963.51,,192830.823,0.450083214,0.787471921,20767.74173,59.60085487,43,0.416942239,1.435806873,14.92876112,1,,,66323813.83,,238333.6606,0.495658862,0.675277913,8.732245441,253235117.8,29000000,3604996.533,7000837.344,828103.344,25110321.48,,,,28851.745,3412.76698,110648.1214,11999.95278,2.575722127,2.739588241,,,1.028099384,7184421.487,828103.344,25110321.48,,,,29608.3292,3412.76698,110648.1214,11956.76774,2.575722127,2.739588241,,,1.028099384
Steel_1_1_80,1,Steel,1,1428.484523,454.0670985,3,10.95209158,113.5167746,24.76114414,8.693318753,6,238.0807538,Chevron,L2-1/2X1-1/2X3/16,103145.0673,187.8771761,57,1.310269924,2.892699843,20.87534695,1,,,258951004.7,,1946043.563,0.736890917,0.941789364,56176.96215,96.1668896,57,0.478673801,3.817709668,9.500114526,1,,,138577131.2,,293165.5377,0.756012755,0.782630421,26.318471,763235659.1,29000000,3604996.533,34250333.68,2869346.157,43369749.28,,,,95913.54183,8035.225442,137147.3208,6575.878165,3.800925659,3.986531938,,,8.07900131,27219502.35,2869346.157,43369749.28,,,,76224.62606,8035.225442,137147.3208,11999.99444,3.800925659,3.986531938,,,8.07900131
Steel_1_1_81,1,Steel,1,719.9842532,844.7284792,5,28.67939849,120.675497,21.19070988,8.911713973,3,239.9947511,Chevron,L2X2X1/8,9626.898126,51.05447141,33,0.369869614,3.450024841,6.000086196,1,,,54997422.26,,239275.0695,0.75123188,1.083710165,9907.231543,52.24522471,33,0.342285587,3.618880101,6.000085679,1,,,51291270.49,,204916.7068,0.782351005,0.886578739,3.891598283,112856350.2,29000000,3604996.533,6673022.92,455605.0706,16310226.92,,,,37073.16037,2531.19464,98470.95435,11999.99023,2.151176275,1.883332508,,,1.016702542,6696214.803,455605.0706,16310226.92,,,,37202.00698,2531.19464,98470.95435,11999.99013,2.151176275,1.883332508,,,1.016702542
Steel_1_1_82,1,Steel,1,1785.560327,706.2841153,4,2.270835718,117.7140192,25.89031594,8.796656188,8,223.1950409,Chevron,L2-1/2X1-1/2X3/16,87498.49366,107.6307478,68,0.564748465,3.214111694,11.33410852,1,,,191977572.4,,386004.961,0.696396528,0.945338139,92952.81817,112.4927098,68,0.541535975,3.505774784,11.33348186,1,,,192266599.4,,343592.5453,0.771843691,0.777052315,4.725363117,137035530.4,29000000,3604996.533,46308410.18,3202314.586,59558951.91,,,,103744.4559,7174.12632,149510.6112,11999.97561,1.792560763,1.67797481,,,1.03631716,46890793.97,3202314.586,59558951.91,,,,105049.1668,7174.12632,149510.6112,11999.99519,1.792560763,1.67797481,,,1.03631716
Steel_1_1_83,1,Steel,1,753.6439144,455.9338746,3,21.0381718,113.9834686,26.94584718,8.725212242,4,188.4109786,Beam,C15X33.9,7097.910557,61.29842853,27,0.440800725,4.423553585,6.024186119,1,,,51241226.38,,232052.4413,0.704618759,1.008959398,7306.378721,63.45602517,27,0.391392466,4.714932513,6.000001757,1,,,47327127.97,,199427.735,0.757830617,0.832268017,26.17580233,759098267.4,29000000,3604996.533,6984153.664,798519.4396,17434165.48,,,,37078.06113,4239.247019,100609.8559,11995.93435,1.931944495,1.710492258,,,1.038706628,7030185.833,798519.4396,17434165.48,,,,37322.44058,4239.247019,100609.8559,11999.99967,1.931944495,1.710492258,,,1.038706628
Steel_1_1_84,1,Steel,1,1004.870005,510.7652463,3,54.43088403,127.6913116,26.29006684,7.537911389,5,200.974001,Chevron,L2X2X1/8,18259.76229,75.84040088,38,0.428005325,5.044076332,6.333566087,1,,,79247535.76,,320404.411,0.670369551,1.266340334,18584.58662,76.91358139,38,0.394703575,5.212889431,6.333333807,1,,,73987871.05,,272484.788,0.683965272,1.024612729,7.932169649,230032919.8,29000000,3604996.533,12329587.04,1419980.24,26373446.59,,,,49079.33158,5652.393777,113697.3096,11999.9655,2.006984569,1.89814226,,,1.028143456,12370302.63,1419980.24,26373446.59,,,,49241.40466,5652.393777,113697.3096,11999.99993,2.006984569,1.89814226,,,1.028143456
Steel_1_1_85,1,Steel,1,625.9453982,543.6733368,3,18.79351243,90.6122228,21.2483132,8.274213225,3,208.6484661,Beam,C15X33.9,6276.252649,42.09947943,29,0.315682122,2.897580169,6.000546039,1,,,38371849.35,,174301.0949,0.624401404,0.849344191,6419.520742,43.12453353,29,0.312500944,2.994450778,6.00002241,1,,,36563536.21,,170805.8769,0.643783648,0.698207077,24.47936649,709901628.1,29000000,3604996.533,3717302.489,393556.7828,13225795.27,,,,23754.80353,2514.959189,95157.34848,11999.94215,2.301688734,2.201201788,,,1.022414473,3732392.443,393556.7828,13225795.27,,,,23851.23337,2514.959189,95157.34848,11999.99763,2.301688734,2.201201788,,,1.022414473
Steel_1_1_86,1,Steel,1,1387.591317,556.7804092,3,22.52877456,69.59755115,20.59205317,8.093622315,6,231.2652195,Cross,L2-1/2X1-1/2X3/16,51856.95024,74.30139403,67,0.596941582,1.416334611,12.70788902,1,,,128488995.3,,437412.2247,0.506360714,0.702158864,57594.47648,77.96801962,67,0.556918915,1.481816999,14.27468985,1,,,133621316.5,,355925.1051,0.548274042,0.586206836,10.45051457,303064922.7,29000000,3604996.533,17006421.08,1504226.3,41620187.16,,,,49024.29372,4336.222867,136726.0719,11965.22336,2.857017335,2.596090642,,,2.23880027,17271672.63,1504226.3,41620187.16,,,,49788.93255,4336.222867,136726.0719,11732.75395,2.857017335,2.596090642,,,2.23880027
