id,suite,type,spans,length,width,n_lanes,skew,gdr_spacing,span2depth,t_deck,n_dia,dia_spacing,dia_type,dia_section,intgdr_Ix,ingdr_A,intgdr_d,intgdr_tw,intgdr_tf,intgdr_bf,intgdr_sectcomp,intgdr_flangecomp,intgdr_webcomp,intgdr_mnpos,intgdr_fnneg,intgdr_vn,intgdr_dfm,intgdr_dfv,extgdr_Ix,exgdr_A,extgdr_d,extgdr_tw,extgdr_tf,extgdr_bf,extgdr_sectcomp,extgdr_flangecomp,extgdr_webcomp,extgdr_mnpos,extgdr_fnneg,extgdr_vn,extgdr_dfm,extgdr_dfv,dia_emultiplier,dia_e,gdr_e,deck_e,intgdr_dlmpos,intgdr_sdlmpos,intgdr_llmpos,intgdr_dlmneg,intgdr_sdlmneg,intgdr_llmneg,intgdr_dlv,intgdr_sdlv,intgdr_llv,intgdr_ftgstress,intgdr_st1rtgpos,intgdr_sv2rtgpos,intgdr_st1rtgneg,intgdr_sv2rtgneg,intgdr_vrtg,extgdr_dlmpos,extgdr_sdlmpos,extgdr_llmpos,extgdr_dlmneg,extgdr_sdlmneg,extgdr_llmneg,extgdr_dlv,extgdr_sdlv,extgdr_llv,extgdr_ftgstress,extgdr_st1rtgpos,extgdr_sv2rtgpos,extgdr_st1rtgneg,extgdr_sv2rtgneg,extgdr_vrtg
Steel_3_1_1,1,Steel,3,551.5660663,561.9986747,3,31.30418836,80.28552496,28.05888484,7.948543198,3,183.8553554,Beam,C10X15.3,1727.020074,24.92730577,19,0.356413018,0.684529867,13.61767401,1,0,1,11800928.21,47367.29936,182233.0022,0.535915176,0.854978461,2490.186242,43.2933885,19,0.399923489,3.1869941,6.000003232,1,0,1,22220772.58,37054.14524,146433.7221,0.55307553,0.672055086,18.0099469,522288460.1,29000000,3604996.533,1378330.608,151504.134,8346011.583,-2416149.649,-265579.7224,-8884989.279,22001.04603,2418.323591,101394.9409,11999.99079,1.267506395,1.919931305,1.00000079,2.558800501,1.019928607,1635878.619,171045.7604,8876363.551,-2045815.105,-213908.2913,-6542782.028,22254.61532,2326.919342,98381.93816,11999.99941,1.267506395,1.919931305,1.00000079,2.558800501,1.019928607
Steel_3_1_2,1,Steel,3,719.5658293,815.0413339,5,24.67409748,116.4344763,20.92935896,7.98881106,3,239.8552764,Chevron,L2X2X1/8,10192.33753,49.89631126,34,0.37644373,2.966010997,6.630167074,1,0,-1,42525777.71,29737.0516,247856.4809,0.754471395,1.026761651,10400.33253,50.58242014,34,0.355893457,3.068550965,6.626286722,1,0,-1,42624617.87,29929.36733,213473.0812,0.767138518,0.845024084,25.37682754,735927998.8,29000000,3604996.533,3769283.97,291248.4278,12906029,-4711604.962,-364060.5347,-12088550.28,39287.06537,3035.668342,108484.3151,11999.94884,2.198274063,2.666640411,1.000306643,1.59460524,1.019594211,3777826.439,291248.4278,12906029,-4722283.049,-364060.5347,-12088550.28,39376.10312,3035.668342,108484.3151,11999.94734,2.198274063,2.666640411,1.000306643,1.59460524,1.019594211
Steel_3_1_3,1,Steel,3,1568.373323,514.9226586,3,39.31142735,128.7306646,27.79368479,8.875791122,7,224.0533318,Chevron,L2X2X1/8,56442.03883,101.4373073,56,0.560600051,3.554633125,10.41305205,1,0,1,100588299.2,39816.5824,475490.9314,0.698199481,1.15518881,64568.84532,107.6310605,56,0.552456398,1.732600622,22.68493784,1,0,1,116279102,48272.37669,423502.8576,0.7626308,0.930736631,28.48149131,825963248,29000000,3604996.533,23467851.3,2213686.389,39812919.24,-29336523.61,-2767269.24,-42075947.02,112230.3849,10586.51993,159264.0408,11999.99456,1.409684634,2.466587914,1.000011002,1.270672901,1.041115903,23834896.66,2213686.389,39812919.24,-29795357.05,-2767269.24,-42075947.02,113985.7071,10586.51993,159264.0408,11997.65644,1.409684634,2.466587914,1.000011002,1.270672901,1.041115903
Steel_3_1_4,1,Steel,3,495.3551077,682.7131417,4,21.06888288,136.5426283,22.7530261,7.80982948,3,165.1183692,Beam,C12X20.7,2360.975816,28.4478872,21,0.417221429,0.649174397,15.57973962,1,0,1,15054163.5,49072.38947,238378.581,0.853659612,1.151182591,2384.569626,27.74774011,21,0.347125147,0.660130502,15.84263094,1,0,1,14524138.14,49202.07345,198108.6365,0.830884504,0.917927193,22.09828867,640850371.5,29000000,3604996.533,1684116.929,164109.949,7276262.479,-2896511.055,-282252.5404,-7532342.54,29646.29201,2888.903607,98139.63525,11999.99064,1.174176526,1.730037425,1.000000614,2.446887464,1.018267223,1683042.353,164449.2631,7281441.309,-2879329.373,-281337.8954,-7497946.579,29547.90232,2887.111399,98087.07761,11999.99032,1.174176526,1.730037425,1.000000614,2.446887464,1.018267223
Steel_3_1_5,1,Steel,3,1640.385479,573.5826929,3,15.66339075,143.3956732,28.77977547,8.234059762,7,234.3407827,Chevron,L2-1/2X1-1/2X3/16,65100.01185,113.9974141,56,0.566099398,3.488477154,12.36148234,1,0,1,113627121.3,41774.79467,488300.5174,0.813989802,1.13175345,111093.4783,181.5986591,56,0.823468663,1.936669338,35.80218478,1,0,0,216671231.9,50000,1186026.235,0.84852496,0.884144843,10.09315005,292701351.5,29000000,3604996.533,26934062.79,2421745.808,42462338.84,-33668026.95,-3027222.584,-44803440.93,123146.7629,11072.60198,161834.9059,11999.99842,1.273497258,2.236439318,1.00000189,1.187603767,1.043185198,31326142.32,2421745.808,42462338.84,-39158199.49,-3027222.584,-44803440.93,143228.0399,11072.60198,161834.9059,7907.37246,1.273497258,2.236439318,1.00000189,1.187603767,1.043185198
Steel_3_1_6,1,Steel,3,1719.709493,470.4002201,3,58.54777961,67.20003144,26.42733167,8.84117206,8,214.9636867,Cross,L2-1/2X1-1/2X3/16,55170.2694,78.51860798,65,0.543659444,2.09825338,10.83334717,1,0,1,89903095.38,40047.85758,348707.8097,0.410766829,0.844892312,63425.52689,86.73544762,65,0.522487812,2.55913724,10.83333379,1,0,1,105902236,40387.96882,314299.4208,0.486984074,0.714358887,26.97592139,782301720.2,29000000,3604996.533,17666295.63,1663517.58,45449621.24,-22083139.5,-2079422.396,-47880115.57,77047.22077,7255.024423,164572.0182,11999.99964,2.01454432,3.189637285,1.392320519,1.71071659,1.037270091,18250625.13,1663517.58,45449621.24,-22813560.32,-2079422.396,-47880115.57,79595.63078,7255.024423,164572.0182,11999.99999,2.01454432,3.189637285,1.392320519,1.71071659,1.037270091
Steel_3_1_7,1,Steel,3,685.2258218,469.597967,3,54.85657147,117.3994917,25.63360511,7.761294023,3,228.4086073,Beam,C15X33.9,5755.253615,51.87822392,26,0.51316722,3.289490184,6.370591024,1,0,-1,32372511.11,30563.36407,289020.6887,0.633848504,1.261907107,5931.628656,52.98267305,26,0.447494324,3.497946239,6.357793938,1,0,-1,32620659.82,30885.14422,246622.6775,0.655589289,1.035894196,27.56907599,799503203.6,29000000,3604996.533,3324008.306,422548.4679,11986526.86,-4155330.122,-528226.2302,-10712372.32,36385.05722,4625.274297,107663.4098,11999.99802,2.082549499,2.664797926,1.00001169,1.475573198,1.024319895,3336478.387,422548.4679,11986526.86,-4170918.923,-528226.2302,-10712372.32,36521.55646,4625.274297,107663.4098,11999.94969,2.082549499,2.664797926,1.00001169,1.475573198,1.024319895
Steel_3_1_8,1,Steel,3,882.2095048,625.5888439,4,34.34861021,69.50987154,28.91070371,8.673270607,4,220.5523762,Chevron,L2X2X1/8,9110.958796,57.4672543,30,0.345016171,3.475491762,7.123448175,1,0,1,41645773.88,35533.73518,208199.1937,0.470094164,0.770884388,10041.89775,62.3528954,30,0.323204615,3.475455049,7.898724398,1,0,1,45940969.81,37558.97443,182707.0261,0.530250285,0.642416297,4.250445955,123262932.7,29000000,3604996.533,4294803.254,350168.167,17419404.06,-5369484.617,-437790.1559,-18316568.15,36518.43187,2977.457079,117734.1938,11999.99961,2.50179091,3.147492601,1.321434805,1.651703644,1.023434714,4386222.087,350168.167,17419404.06,-5483779.03,-437790.1559,-18316568.15,37295.76024,2977.457079,117734.1938,11999.99233,2.50179091,3.147492601,1.321434805,1.651703644,1.023434714
Steel_3_1_9,1,Steel,3,1123.881548,892.2910368,6,28.11470736,127.4701481,26.76888583,8.013330749,5,224.7763097,Chevron,L2X2X1/8,25238.39494,85.5458534,41,0.452868176,4.316011419,8.212145397,1,0,1,73956973.08,36975.70807,358710.2182,0.771313219,1.097207773,26026.98713,87.39689702,41,0.42284878,4.381371828,8.418072626,1,0,1,75004014.51,37489.38805,309461.4588,0.80461331,0.888346878,22.22977749,644663547.1,29000000,3604996.533,10981596.76,710418.816,24707774.38,-13728549.65,-888124.0321,-26602031.85,73291.79667,4741.375282,136014.9582,11999.9937,1.779927097,2.478425531,1.000009946,1.298229808,1.022711006,11037811.84,710418.816,24707774.38,-13798826.47,-888124.0321,-26602031.85,73666.97934,4741.375282,136014.9582,11999.99871,1.779927097,2.478425531,1.000009946,1.298229808,1.022711006
Steel_3_1_10,1,Steel,3,749.2324542,591.6425726,4,11.00178398,118.3285145,24.60801773,8.107218734,4,187.3081135,Chevron,L2X2X1/8,8539.168631,56.73116719,30,0.390659456,4.012170544,6.000015169,1,0,1,40519921.5,35312.63683,248964.9694,0.74530534,0.985341214,10913.74375,60.29081793,30,0.353458859,1.471888509,17.2321327,1,0,1,48380636.89,48423.7822,215356.9244,0.774067162,0.808146062,7.012636296,203366452.6,29000000,3604996.533,4206443.096,420984.5717,13693951.28,-5258395.857,-526264.941,-13265775.96,42110.26227,4214.432555,110800.4672,11999.99826,1.945533916,2.473376379,1.09742375,1.321577931,1.027576243,4254490.882,420984.5717,13693951.28,-5318459.496,-526264.941,-13265775.96,42591.26363,4214.432555,110800.4672,11999.97414,1.945533916,2.473376379,1.09742375,1.321577931,1.027576243
Steel_3_1_11,1,Steel,3,761.1778552,721.456224,5,8.145363976,90.18202801,20.29199507,7.71891539,4,190.2944638,Chevron,L2X2X1/8,12889.70849,49.23037446,37,0.375255526,1.237915873,14.65163762,1,0,1,48186250.26,46836.59814,201960.9748,0.633721647,0.803511681,12965.2545,49.54857491,37,0.355216065,1.517273631,12.35225463,1,0,1,48019113.66,45287.94418,174120.4505,0.641130333,0.6602849,5.270388188,152841257.5,29000000,3604996.533,3389258.142,289677.6163,14022849.51,-4236839.548,-362119.8296,-13735013.4,33396.97433,2854.416957,111396.1415,11999.94056,2.803065142,3.242134421,2.24947067,2.056589215,1.022826859,3393690.89,289677.6163,14022849.51,-4242380.832,-362119.8296,-13735013.4,33440.65361,2854.416957,111396.1415,11999.26534,2.803065142,3.242134421,2.24947067,2.056589215,1.022826859
Steel_3_1_12,1,Steel,3,552.444683,695.0612628,4,27.19097539,86.88265784,26.93904338,8.210360536,3,184.1482277,Beam,C12X20.7,2770.550085,43.22395398,20,0.461610279,3.068549642,6.000342313,1,0,1,23717750.25,36903.56015,185578.4665,0.59515716,0.872795406,2848.415971,44.33929979,20,0.401564494,3.242684783,6.000013361,1,0,1,23994881.41,37003.03097,157382.8764,0.619907249,0.710675946,17.23922693,499937580.9,29000000,3604996.533,1797295.065,152525.4479,8897262.477,-2247681.062,-190746.9549,-6555507.788,24411.65023,2071.667561,99815.7865,11999.94397,2.298305837,2.745156539,1.781097599,1.704237398,1.017093735,1805475.771,152525.4479,8897262.477,-2257911.779,-190746.9549,-6555507.788,24522.76416,2071.667561,99815.7865,11999.9977,2.298305837,2.745156539,1.781097599,1.704237398,1.017093735
Steel_3_1_13,1,Steel,3,969.7812289,615.2597504,4,17.42125202,102.5432917,26.61102532,8.583755783,5,193.9562458,Chevron,L2X2X1/8,18735.85828,72.39239199,36,0.406783647,1.541019614,19.14378744,1,0,1,65631886.95,48586.93846,269815.5204,0.654206301,0.911598896,19911.20454,76.01216705,36,0.402307255,1.474446083,21.26746691,1,0,1,69137382.02,49287.05347,259954.2776,0.708500272,0.756832592,18.18727793,527431060,29000000,3604996.533,7056323.747,604499.3284,19990614.23,-8821749.257,-755739.3471,-21434911.1,54579.83096,4675.730925,122697.9304,11999.99342,2.450257377,3.093359124,1.982042948,1.758547868,1.029891525,7139598.77,604499.3284,19990614.23,-8925858.904,-755739.3471,-21434911.1,55223.95343,4675.730925,122697.9304,11999.70541,2.450257377,3.093359124,1.982042948,1.758547868,1.029891525
Steel_3_1_14,1,Steel,3,1539.400794,793.1239592,5,43.75872294,61.00953533,29.95597612,8.96387052,7,219.9143992,Cross,L2X2X1/8,36768.68716,78.52533164,51,0.460545597,3.050431652,9.481810857,1,0,1,80005514.2,38630.69124,287070.9914,0.407758123,0.726963379,44472.72271,91.60793524,51,0.451025748,3.050476282,11.69609304,1,0,1,99512676.5,41964.2778,269635.0044,0.51628238,0.647222253,16.90437698,490226932.4,29000000,3604996.533,13483605.35,761695.2789,38760749.7,-16854763.88,-952133.6271,-40996707.2,65693.47219,3711.055486,157454.6036,11999.99383,2.250710198,3.258964149,1.413673544,1.834621847,1.023177011,14229089.64,761695.2789,38760749.7,-17786633.46,-952133.6271,-40996707.2,69325.5461,3711.055486,157454.6036,11999.99994,2.250710198,3.258964149,1.413673544,1.834621847,1.023177011
Steel_3_1_15,1,Steel,3,1902.868842,579.9324521,4,0.634184366,72.49155652,22.29529144,7.630573999,8,237.8586053,Cross,L3X2X3/16,97993.2307,88.44683855,85,0.583071454,1.273782082,15.84697157,1,0,1,129247998.6,43094.75847,317227.8037,0.513473861,0.674725599,104316.2781,91.02762145,85,0.558636888,1.599861472,14.16715449,1,0,1,137354385.5,41934.99412,281218.2154,0.550339044,0.551228846,22.77414905,660450322.4,29000000,3604996.533,21416763.92,1810383.302,52603749.11,-26772013.87,-2263068.644,-55272657.03,84415.74092,7135.758157,171741.1047,11999.99058,2.122372238,3.090538239,1.600096426,1.712791566,1.043994095,21641460.91,1810383.302,52603749.11,-27052896.22,-2263068.644,-55272657.03,85301.40054,7135.758157,171741.1047,11999.99317,2.122372238,3.090538239,1.600096426,1.712791566,1.043994095
Steel_3_1_16,1,Steel,3,1451.162429,505.8013779,3,30.58457738,84.30022966,24.12399999,8.645149164,7,207.3089184,Chevron,L2X2X1/8,50580.81904,79.59436957,60,0.518552204,1.671709483,15.0190494,1,0,1,97114132.68,45104.58955,324740.5219,0.541361661,0.82773872,55017.73122,83.30455279,60,0.497294036,1.299159765,21.07479039,1,0,1,105236992.7,48141.62806,282699.1741,0.584486301,0.667715455,19.9361217,578147529.4,29000000,3604996.533,14273032.62,1353682.646,35621561.46,-17842509.43,-1692218.889,-37768673.27,73771.93241,6996.675997,154479.8783,11999.83907,2.300506173,3.203741309,1.801334383,1.802384496,1.03912441,14460886.14,1353682.646,35621561.46,-18077342.38,-1692218.889,-37768673.27,74742.87655,6996.675997,154479.8783,11999.96754,2.300506173,3.203741309,1.801334383,1.802384496,1.03912441
Steel_3_1_17,1,Steel,3,1093.767468,605.3074742,4,58.02230853,121.0614948,23.73995404,7.866234818,5,218.7534937,Chevron,L2X2X1/8,28422.65033,71.81065756,46,0.499331386,1.329482033,18.86791878,1,0,1,74813382.73,47352.33259,379032.7193,0.62193309,1.24686905,29516.61713,73.5008452,46,0.474100351,1.43810508,18.44644109,1,0,1,76649915.81,47223.11833,326064.3398,0.643926785,1.018383691,8.690693514,252030111.9,29000000,3604996.533,9327615.041,897137.1062,23770177,-11660926.96,-1121556.82,-25618982.32,63967.49195,6152.442009,133525.0985,11999.975,2.398649686,3.164199313,1.91716207,1.769359403,1.026492833,9376226.627,897137.1062,23770177,-11721698.78,-1121556.82,-25618982.32,64300.86348,6152.442009,133525.0985,11999.10589,2.398649686,3.164199313,1.91716207,1.769359403,1.026492833
Steel_3_1_18,1,Steel,3,911.5764505,864.2221644,6,10.71136516,86.42221644,23.22776946,8.350430563,4,227.8941126,Chevron,L2X2X1/8,15604.34318,58.02978123,39,0.378189006,3.426557543,6.693625044,1,0,-1,54064840.75,29541.1418,222022.6075,0.5872697,0.789329084,17848.45039,60.95962484,39,0.371306406,1.893417139,12.6450611,1,0,1,60082786.25,43650.39887,191823.4284,0.616816623,0.641877281,15.88757317,460739622,29000000,3604996.533,5215391.419,339884.0832,18278491.31,-6520368.147,-424928.6719,-19379683.55,42917.09034,2796.882291,119344.8732,11999.95576,2.509210452,3.084777495,1.000224865,1.694033241,1.021364826,5273927.993,339884.0832,18278491.31,-6593551.534,-424928.6719,-19379683.55,43398.7837,2796.882291,119344.8732,11999.89211,2.509210452,3.084777495,1.000224865,1.694033241,1.021364826
Steel_3_1_19,1,Steel,3,1588.292834,745.9131725,5,46.98663708,106.5590246,21.16673103,8.486455956,7,226.8989763,Chevron,L2-1/2X1-1/2X3/16,72636.48419,83.71218323,75,0.60923514,1.598699255,12.50001061,1,0,1,109042914.2,40912.68121,415550.7295,0.61290968,1.032708626,78505.52544,87.06299254,75,0.583451905,1.816916415,12.50037315,1,0,1,117117960.3,41232.19865,367224.974,0.665624228,0.855422766,28.79069717,834930217.9,29000000,3604996.533,20104537.85,1418983.836,40539924.13,-25131032.9,-1773755.245,-42824750.44,94936.01816,6700.610391,159638.3996,11999.99992,1.890864914,2.890505553,1.320708201,1.482155427,1.029031707,20307799.54,1418983.836,40539924.13,-25385113.65,-1773755.245,-42824750.44,95895.84402,6700.610391,159638.3996,11999.99324,1.890864914,2.890505553,1.320708201,1.482155427,1.029031707
