id,maxDL1Mpos_abt,maxDL2Mpos_abt,maxDL1Mneg_abt,maxDL2Mneg_abt,maxDL1V_abt,maxDL2V_abt,maxDL1rxn_abt,maxDL2rxn_abt,maxDL1fbpos_abt,maxDL2fbpos_abt,maxDL1fbneg_abt,maxDL2fbneg_abt,maxLLMpos_abt,maxLLMneg_abt,maxLLV_abt,maxLLrxn_abt,maxLLfbpos_abt,maxLLfbneg_abt,ctrtg_st1_pos_abt,ctrtg_st1_neg_abt,ctrtg_sv2_pos_abt,ctrtg_sv2_neg_abt,ctrtg_v_abt,DL1M_ctrtg_st1_pos_abt,DL2M_ctrtg_st1_pos_abt,LLM_ctrtg_st1_pos_abt,DL1fb_ctrtg_st1_neg_abt,DL2fb_ctrtg_st1_neg_abt,LLfb_ctrtg_st1_neg_abt,DL1fb_ctrtg_sv2_pos_abt,DL2fb_ctrtg_sv2_pos_abt,LLfb_ctrtg_sv2_pos_abt,DL1fb_ctrtg_sv2_neg_abt,DL2fb_ctrtg_sv2_neg_abt,LLfb_ctrtg_sv2_neg_abt,DL1V_ctrtg_v_abt,DL2V_ctrtg_v_abt,LLV_ctrtg_v_abt,loc_ctrtg_st1_pos_abt,loc_ctrtg_st1_neg_abt,loc_ctrtg_sv2_pos_abt,loc_ctrtg_sv2_neg_abt,loc_ctrtg_v_abt,maxDL1Mpos_pier,maxDL2Mpos_pier,maxDL1Mneg_pier,maxDL2Mneg_pier,maxDL1V_pier,maxDL2V_pier,maxDL1rxn_pier,maxDL2rxn_pier,maxDL1fbpos_pier,maxDL2fbpos_pier,maxDL1fbneg_pier,maxDL2fbneg_pier,maxLLMpos_pier,maxLLMneg_pier,maxLLV_pier,maxLLrxn_pier,maxLLfbpos_pier,maxLLfbneg_pier,ctrtg_st1_pos_pier,ctrtg_st1_neg_pier,ctrtg_sv2_pos_pier,ctrtg_sv2_neg_pier,ctrtg_v_pier,DL1M_ctrtg_st1_pos_pier,DL2M_ctrtg_st1_pos_pier,LLM_ctrtg_st1_pos_pier,DL1fb_ctrtg_st1_neg_pier,DL2fb_ctrtg_st1_neg_pier,LLfb_ctrtg_st1_neg_pier,DL1fb_ctrtg_sv2_pos_pier,DL2fb_ctrtg_sv2_pos_pier,LLfb_ctrtg_sv2_pos_pier,DL1fb_ctrtg_sv2_neg_pier,DL2fb_ctrtg_sv2_neg_pier,LLfb_ctrtg_sv2_neg_pier,DL1V_ctrtg_v_pier,DL2V_ctrtg_v_pier,LLV_ctrtg_v_pier,loc_ctrtg_st1_pos_pier,loc_ctrtg_st1_neg_pier,loc_ctrtg_sv2_pos_pier,loc_ctrtg_sv2_neg_pier,loc_ctrtg_v_pier
Steel_1_1_1,12873050.01,1844702.953,-8760.002634,-22991.11044,49745.286,9397.276631,50409.70148,10388.11993,10784.15401,1321.275448,-7.209861443,-18.72201875,13769017,-66217.10938,63092.69531,74024.82813,9139.428711,-55.47184372,2.64170716,,3.054502917,,1.497738004,12190661.74,1789409.73,13769017,,,,9926.993375,1281.671469,9139.428711,,,,48826.28531,2942.151471,74003.08594,"0.54545,8,1",NaN,"0.54545,8,1",NaN,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel_1_1_2,3290127.073,682142.59,-1096.851033,-10969.08733,22968.89874,6339.151581,23630.95191,7424.268041,8329.040115,1428.614788,-3.186143196,-31.53719665,5277579.5,-34271.78125,39725.24609,55564.15234,9248.994141,-86.75952911,3.036842742,,3.25406099,,1.543994904,3290127.073,23337.61192,5277579.5,,,,8329.040115,45.13154715,9248.994141,,,,23617.17141,0,55564.14453,"0.58333,4,1",NaN,"0.58333,4,1",NaN,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel_1_1_3,19472292.18,3672020.25,-39018.61794,-115518.6889,62894.68372,13779.82638,65131.24551,15925.60149,12300.04605,1976.324499,-24.98419962,-73.74836156,17736644,-354514.25,76662.69531,85033.48438,9001.05957,-219.9897003,2.873168799,,2.992111569,,1.688171864,19472292.18,747134.8385,17736644,,,,12083.44971,404.7234753,9001.05957,,,,65131.24551,0,85033.48438,"0.51852,4,1",NaN,"0.51852,4,1",NaN,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel_1_1_4,65681645.05,4642464.22,-2531.748374,-4933.5709,143261.7148,13720.44441,143511.3877,14453.0326,13768.31694,877.3804435,-0.546646578,-1.012228506,46025224,-17336.23242,81145.02344,88127.14063,8127.510742,-5.822451115,3.102533391,,3.137202043,,1.808065057,65680160.36,4642464.22,46025224,,,,13475.68326,877.3804435,8127.510742,,,,82714.3353,4253.683505,88126.63281,"0.52778,7,1",NaN,"0.52778,7,1",NaN,"2,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel_1_1_5,56824429.87,5008703.247,-31134.24953,-35044.52496,117613.0686,14421.39654,118866.6784,15281.20534,18695.7241,1469.356617,-10.25797066,-11.52992977,37447064,-316333.5,95379.54688,102581.75,10107.93555,-108.889389,2.236828992,,2.085996326,,7.574825764,56788145.53,4891619.854,37406892,,,,18683.74574,1435.008952,10097.0918,,,,118866.6784,14143.08302,88433.75,"0.5,6,1",NaN,"0.5,6,1",NaN,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel_1_1_6,17113189.28,3492290.65,-4071.241776,-115221.6783,52042.18141,13934.80223,53256.52877,16522.95641,11185.00316,1991.353859,-2.824662668,-75.14315115,15346454,-257218.4375,69615.5625,72072.17969,8285.341797,-175.530899,3.403377156,,3.287052867,,1.623237252,16109635.35,1885719.571,15346454,,,,10993.62037,1101.716178,8285.341797,,,,49712.59349,6881.714154,71058.75,"0.53571,9,1",NaN,"0.53571,9,1",NaN,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel_1_1_7,5422218.429,943948.5471,-26411.82731,-41461.4753,32614.12134,7083.73176,33708.54995,8290.021888,10494.11823,1417.782125,-51.4293186,-80.24415867,6782438.5,-311191.8125,65252.61328,79525.73438,9056.3125,-614.0228271,3.141729511,,3.142840714,,1.246325016,4930114.93,727577.1625,6408495.5,,,,9868.830163,629.8579006,9056.3125,,,,33708.22677,0,79525.73438,"0.4,6,1",NaN,"0.53333,3,1",NaN,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel_1_1_8,43775647.64,4520965.317,-51033.54992,-42505.3161,103152.4592,13840.70478,104432.4346,14796.33605,16135.48192,1516.92154,-18.84561661,-15.66728823,28747808,-1023512.75,95910.82813,102556.2422,9241.648438,-397.7107239,2.512078106,,2.543160465,,1.607221007,43372691.32,4496339.928,27882846,,,,15857.08223,1089.024351,9241.648438,,,,104404.5565,13868.93397,79124.1875,"0.48571,6,1",NaN,"0.54286,2,1",NaN,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel_1_1_9,48921356.66,6260381.604,-65347.95136,-166017.0948,110943.7765,18004.21483,113925.388,21278.81869,13690.77075,2117.879312,-24.14539694,-60.94228597,31273408,-361683.2188,94811.9375,99210.42969,6927.171387,-95.63344574,3.723369774,,3.826767117,,2.894250631,48092063.52,1345252.367,31273408,,,,12716.20111,322.5257136,6927.171387,,,,85481.62272,21278.81869,46186.28125,"0.51351,5,1",NaN,"0.51351,5,1",NaN,"1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel_1_1_10,4213466.257,917875.382,-26934.68501,-57102.59174,26856.9151,7295.649035,27515.48287,8454.437755,10031.27049,1789.233224,-72.00336765,-151.9404055,6028098,-233383.9688,59855.95313,65589.26563,9477.454102,-538.2669067,2.862281061,,3.044913596,,1.411626697,4190364.184,182478.5112,6028098,,,,9664.518297,320.0441948,9477.454102,,,,27515.48287,0,65589.26563,"0.57143,3,1",NaN,"0.57143,3,1",NaN,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel_1_1_11,42922004.68,4707499.298,-2000.738106,-19982.24163,87833.67651,12655.61638,88238.99765,13327.16104,15430.4633,1513.688392,-0.771062805,-7.179350931,36214140,-82381.29688,67708.94531,77185.29688,10762.14648,-59.18160248,2.343361456,,2.184683611,,1.570726633,42920750.68,4707499.298,36214140,,,,15420.86105,1513.688392,10762.14648,,,,88236.51871,13320.47113,61633.92188,"0.525,6,1",NaN,"0.525,6,1",NaN,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
